#V_RHE  FE_tot  Methane Ethylene    CO  Hydrogen    Formate Ethanol Acetate n-propanol
-0.28   100.0   0.0       0.0     0.0013  0.0     0.0     0.0     0.0     0.0 
-0.38   89.7    0.0       0.0     0.0078  0.265   0.0     0.0     0.0     0.0 
-0.48   96.0    0.0       0.0     0.0498  0.519   0.0266  0.0     0.0     0.0 
-0.53   93.7    0.0       0.0     0.0835  0.652   0.05    0.0     0.0     0.0 
-0.63   93.1    0.0       0.0127  0.1677  1.11    0.2058  0.0     0.0     0.0
-0.68   91.2    0.0       0.131   0.249   1.2242  0.5212  0.0     0.0377  0.0 
-0.78   88.1    0.0       0.6727  0.3502  2.6898  1.5885  0.0709  0.1111  0.1308 
-0.83   90.2    0.0       1.4656  0.3358  3.4881  1.1394  0.3952  0.1137  0.6953 
-0.88   83.1    0.0276    1.6996  0.3241  4.2337  1.2401  0.8513  0.1122  0.8829
-0.93   83.5    0.1152    3.2728  0.317   5.9375  1.6947  1.0231  0.1101  0.8545
-0.98   87.2    0.2079    8.972   0.1329  10.1745 0.8366  2.3597  0.1238  1.3649
-1.03   92.3    0.243     7.82    0.0767  18.5653 0.5901  2.9287  0.114   1.1513
-1.08   91.2    0.612     6.44    0.0439  37.56   0.2351  2.8962  0.1067  0.5502
-1.13   95.6    0.807     1.97    0.013   52.31   0.1191  0.7494  0.0     0.0713
