#V_RHE  FE_tot  Methane Ethylene    CO  Hydrogen    Formate Ethanol Acetate
-0.60   96.69   0.0     0.0     0.0009  0.2663  0.0     0.0     0.0     
-0.65   97.12   0.0     0.0     0.0016  0.5514  0.0255  0.0     0.0     
-0.7    95.48   0.0     0.0     0.0023  0.4351  0.0601  0.0     0.0     
-0.8    97.11   0.0     0.0     0.0178  0.6244  0.1341  0.0     0.0     
-0.9    95.32   0.0031  0.0057  0.1289  0.8089  0.2441  0.0     0.0     
-0.95   96.00   0.0334  0.0448  0.117   0.6971  0.2457  0.0     0.0     
-1.0    100.73  0.4541  0.2696  0.1144  1.3706  0.2891  0.0     0.0     
-1.05   96.23   1.2454  0.7531  0.2022  1.4986  0.2816  0.1264  0.0368  
-1.1    99.6    3.5436  1.3936  0.0494  2.7658  0.2589  0.3478  0.0235  
-1.15   101.6   3.7206  0.2601  0.0121  4.2805  0.2063  0.0476  0.0221  
-1.2    106.72  3.0163  0.0424  0.0139  8.2113  0.1888  0.0     0.0     
-1.25   101.65  3.8987  0.0137  0.0108  13.7195 0.1625  0.0     0.0     













