#V_RHE  Methane Ethylene    CO  Hydrogen    Formate Ethanol Acetate n-propanol
-0.28   0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0 
-0.38   0.0     0.0     0.0004  0.0221  0.0     0.0     0.0     0.0 
-0.48   0.0     0.0     0.1222  0.1222  0.0012  0.0     0.0     0.0
-0.53   0.0     0.0     0.0168  0.0168  0.0088  0.0     0.0     0.0
-0.63   0.0     0.0014  0.3593  0.3593  0.0655  0.0     0.0     0.0
-0.68   0.0     0.1125  0.009   0.301   0.0489  0.0     0.0534  0.0
-0.78   0.0     0.0662  0.0505  0.1987  0.7405  0.0476  0.0359  0.0817 
-0.83   0.0     0.0207  0.0553  0.3623  0.2832  0.107   0.0118  0.2453  
-0.88   0.0255  0.2894  0.098   0.4593  0.2705  0.1545  0.0025  0.1338
-0.93   0.0355  0.1146  0.1266  0.9916  0.203   0.1495  0.0055  0.097 
-0.98   0.0593  0.616   0.0016  1.015   0.5587  0.8473  0.0297  0.4114 
-1.03   0.0331  0.0218  0.0191  0.5177  0.0906  1.2347  0.0056  0.3981 
-1.08   0.4321  1.6591  0.0023  0.1248  0.1248  0.6805  0.0297  0.7781 
-1.13   0.6552  1.6307  0.0093  10.0914 0.1684  1.0598  0.0     0.1009
