#V_RHE	I(mA/cm2)	Hydrogen	Methane	Formate	CO	Methanol	Ethylene	Ethanol	Glycolaldehyde	Acetaldehyde	Acetate	Ethylene-glycol	n-propanol	Allyl-alcohol	Propionaldehyde	Acetone	Hydroxyacetone
-1.16953	-17.34	51.66 	41.01 	0.46 	0.29 	0.01 	9.30 	1.67    0.0 0.0 0.04 	0.01 	0.13    0.0 0.0 0.0 0.0 
-1.13811	-12.24855	32.48 	39.90 	0.81 	0.43 	0.14 	15.32 	5.53 	0.62 	0.17 	0.16 	0.08 	0.89 	0.11 	0.0	0.04    0.0
-1.09361	-9.2255	22.20 	29.61 	1.42 	0.63 	0.04 	20.95 	9.21 	0.35 	0.26 	0.23 	0.15 	2.08 	0.87 	0.0 0.08 	0.0
-1.05439	-5.90975	22.61 	24.41 	2.05 	1.07 	0.02 	25.98 	9.75 	0.28 	0.34 	0.30 	0.13 	2.54 	1.17 	0.00 	0.08    0.0	
-1.01297	-3.56543	25.39 	17.43 	10.74 	4.03 	0.03 	17.93 	5.63 	0.01 	0.17 	0.25 	0.14 	4.01 	1.62 	0.48 	0.02 	0.04 
-0.95526	-1.90625	30.20 	3.02 	17.37 	6.62 	0.11 	10.21 	2.50 	0.0	0.14 	0.09 	0.03 	2.69 	0.24 	0.45 	0.01    0.0
-0.88722	-1.2307	37.66 	0.73 	24.60 	8.74 	0.0	3.63    0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-0.81724	-0.85811	43.76 	0.14 	22.71 	7.64 	0.0	1.84    0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-0.74561	-0.55221	61.82 	0.07 	19.22 	11.47 	0.0	0.43 	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0	
-0.67218	-0.39519	76.19 	0.0	8.59 	18.37 	0.0 0.0	 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
